,no,case_number,type,city,district,neighborhood,address_number,apartment_block,floor,room,apartment_name,full_address,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,image
0,79,2020-104683(1),아파트,서울특별시,서초구,잠원동,58-24,323동,2.0,210,신반포아파트,"서울특별시 서초구 잠원동 58-24 323동 2층210호 (잠원동,신반포아파트)",2023-08-10,100,매각,0,2,2,2,110,1,http://img1.speedauction.co.kr/new_gamimg/2021/A01/2020/104683/54307.jpg
1,80,2022-108221(1),아파트,서울특별시,중구,황학동,2545,102동,27.0,2702,롯데캐슬베네치아,"서울특별시 중구 황학동 2545 102동 27층2702호 (황학동,롯데캐슬베네치아)",2023-08-10,64,매각,2,1,640,755,76,7,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/108221/54216_AUTO_263.jpg
2,81,2023-218(1),아파트,서울특별시,강남구,압구정동,481,91동,6.0,604,현대아파트,서울특별시 강남구 압구정동 481외 2필지 현대아파트 제91동 제6층 제604호,2023-08-10,100,매각,0,3,3,3,108,2,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/218/32919_AUTO_46.jpg
3,82,2023-100156(1),아파트,서울특별시,중구,신당동,843,106동,7.0,704,신당동삼성아파트,서울특별시 중구 신당동 843외 3필지 신당동삼성아파트 제106동 제7층 제704호,2023-08-10,80,매각,1,901,720,871,97,11,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100156/212086.jpg
4,83,2022-112350(1),아파트,서울특별시,동작구,신대방동,720,103동,4.0,403,보라매이편한세상,"서울특별시 동작구 신대방동 720 103동 4층403호 (신대방동,보라매이편한세상)",2023-08-09,64,매각,2,1,979,1,78,9,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/112350/19898_AUTO_110.jpg
5,84,2022-112435(1),아파트,서울특별시,서초구,잠원동,32-22,,6.0,601,보미리전빌,"서울특별시 서초구 잠원동 32-22 6층601호 (잠원동,보미리전빌)",2023-08-09,64,매각,2,1,1,1,79,6,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/112435/18980_AUTO_122.jpg
6,85,2023-101180(1),아파트,서울특별시,관악구,남현동,1135,103동,1.0,101,우림루미아트아파트,서울특별시 관악구 남현동 1135 우림루미아트아파트 제103동 제1층 제101호,2023-08-09,80,매각,2,949,759,805,85,6,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101180/182423.jpg
7,86,2022-121558(1),아파트,서울특별시,영등포구,신길동,769-1,101동,6.0,604,한성아파트,서울특별시 영등포구 신길동 769-1외 1필지 한성아파트 제101동 제6층 제604호,2023-08-09,80,매각,1,1,840,893,85,2,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/121558/11205_AUTO_17.jpg
8,87,2022-105528(1),아파트,서울특별시,도봉구,쌍문동,56,110동,15.0,1506,삼익세라믹아파트,"서울특별시 도봉구 쌍문동 56 110동 15층1506호 (쌍문동,삼익세라믹아파트)",2023-08-09,2,매각,3,470,240,312,67,6,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/105528/124622.jpg
9,88,2022-4176(1),아파트,서울특별시,동작구,상도동,445,102동,5.0,502,경향렉스빌,"서울특별시 동작구 상도동 445 102동 5층502호 (상도동,경향렉스빌)",2023-08-08,64,매각,2,998,638,733,73,4,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/4176/01564_AUTO_3.jpg
10,89,2022-107860(1),아파트,서울특별시,중구,신당동,851,107동,12.0,1202,래미안신당하이베르아파트,"서울특별시 중구 신당동 851 107동 12층1202호 (신당동,래미안신당하이베르아파트)",2023-08-08,64,매각,2,1,1,1,71,3,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/107860/104688.jpg
11,90,2023-101395(1),아파트,서울특별시,동작구,상도동,431,310동,7.0,704,래미안상도3차아파트,서울특별시 동작구 상도동 431 래미안상도3차아파트 제310동 제7층 제704호,2023-08-08,80,매각,1,1,1,1,83,4,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101395/235989.jpg
12,91,2023-101999(1),아파트,서울특별시,강남구,역삼동,,,,,디오빌역삼,"서울특별시 강남구 언주로 427, 17층1708호 (역삼동,디오빌역삼)",2023-08-08,80,매각,1,414,331,411,99,17,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101999/114799.jpg
13,92,2022-1899(1),아파트,서울특별시,은평구,진관동,140,412동,8.0,801,은평뉴타운폭포동,"서울특별시 은평구 진관동 140 412동 8층801호 (진관동,은평뉴타운폭포동)",2023-08-08,64,매각,2,348,222,222,64,1,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/1899/313546.jpg
14,93,2022-2083(1),아파트,서울특별시,은평구,역촌동,36-37,,,801,,서울특별시 은평구 역촌동 36-37 801호,2023-08-08,64,매각,2,427,273,305,71,2,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/2083/314092.jpg
15,94,2022-55759(1),아파트,서울특별시,은평구,진관동,102,121동,10.0,1008,은평뉴타운 박석고개,"서울특별시 은평구 진관동 102 121동 10층 1008호 (진관동,은평뉴타운 박석고개)",2023-08-08,64,매각,2,1,870,953,70,8,http://img1.speedauction.co.kr/new_gamimg/2023/A03/2022/55759/305218.jpg
16,95,2022-2919(1),아파트,서울특별시,중랑구,묵동,20,513동,12.0,1204,신내대림아파트,"서울특별시 중랑구 묵동 20 513동 12층1204호 (묵동,신내대림아파트)",2023-08-08,64,매각,2,1,819,910,71,12,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/2919/59173_AUTO_45.jpg
17,96,2021-55569(1),아파트,서울특별시,성동구,마장동,817,104동,10.0,1003,삼성아파트,"서울특별시 성동구 마장동 817 104동 10층1003호 (마장동,삼성아파트)",2023-08-07,2,매각,6,1,335,349,27,2,http://img1.speedauction.co.kr/new_gamimg/2022/A02/2021/55569/744670.jpg
18,97,2022-962(1),아파트,서울특별시,송파구,마천동,22-3,,9.0,901,한주리버뷰아파트,"서울특별시 송파구 마천동 22-3 9층901호 (마천동,한주리버뷰아파트)",2023-08-07,64,매각,2,700,448,539,77,1,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/962/50996_AUTO_274.jpg
19,98,2022-1156(1),아파트,서울특별시,성동구,행당동,377,102동,40.0,4002,서울숲더샵,"서울특별시 성동구 행당동 377 102동 40층4002호 (행당동,서울숲더샵)",2023-08-07,100,매각,0,2,2,2,102,1,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/1156/03280_AUTO_282.jpg
20,99,2022-53096(1),아파트,서울특별시,성동구,응봉동,98,103동,1.0,103,금호현대아파트,"서울특별시 성동구 응봉동 98 103동 1층103호 (응봉동,금호현대아파트)",2023-08-07,80,매각,1,952,761,768,81,1,http://img1.speedauction.co.kr/new_gamimg/2023/A02/2022/53096/310354.jpg
