no,case_number,property_type,auction_date,percentage,result,auction_count,appraised_value,minimum_bid_price,sale_price,sale_rate,number_of_bidders,land_m2,land_pyung,building_m2,building_pyung,image,full_address_jibun,b_code,h_code,region1,region2,region3,main_address_no,sub_address_no,apartment_block,floor,room,apartment_name,full_address_road,building_name,road_name,main_building_no,sub_building_no,postcode,latitude,longitude
1,2020-104683(1),아파트,2023-08-10,100,매각,0,2,2,2,110,1,43.96,13.3,76.4,23.11,http://img1.speedauction.co.kr/new_gamimg/2021/A01/2020/104683/54307.jpg,서울 서초구 잠원동 58-24,1165010600,1165054000,서울,서초구,잠원동,58,24,323동,2,210,신반포아파트,서울 서초구 신반포로 257,뉴타운,신반포로,257,,06523,37.5096205182617,127.013278085984
2,2022-108221(1),아파트,2023-08-10,64,매각,2,1,640,755,76,7,11.41,3.45,59.94,18.13,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/108221/54216_AUTO_263.jpg,서울 중구 황학동 2545,1114016500,1114067000,서울,중구,황학동,2545,,102동,27,2702,롯데캐슬베네치아,서울 중구 청계천로 400,롯데캐슬베네치아,청계천로,400,,04572,37.5709782271712,127.021433711217
3,2023-218(1),아파트,2023-08-10,100,매각,0,3,3,3,108,2,62.94,19.04,111.5,33.73,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/218/32919_AUTO_46.jpg,서울 강남구 압구정동 481,1168011000,1168054500,서울,강남구,압구정동,481,,91동,6,604,현대아파트,서울 강남구 압구정로 309,현대아파트,압구정로,309,,06006,37.5312147011021,127.035439289396
4,2023-100156(1),아파트,2023-08-10,80,매각,1,901,720,871,97,11,28.73,8.69,59.97,18.14,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/100156/212086.jpg,서울 중구 신당동 843,1114016200,1114064500,서울,중구,신당동,843,,106동,7,704,신당동삼성아파트,서울 중구 청구로1길 23,신당동삼성아파트,청구로1길,23,,04588,37.5581689025054,127.017895622274
5,2022-112350(1),아파트,2023-08-09,64,매각,2,1,979,1,78,9,68.82,20.82,133.3,40.32,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/112350/19898_AUTO_110.jpg,서울 동작구 신대방동 720,1159010900,1159068000,서울,동작구,신대방동,720,,103동,4,403,보라매이편한세상,서울 동작구 보라매로 70,보라매e편한세상아파트,보라매로,70,,07054,37.4954269340058,126.928560219273
6,2022-112435(1),아파트,2023-08-09,64,매각,2,1,1,1,79,6,48.98,14.82,115.24,34.86,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/112435/18980_AUTO_122.jpg,서울 서초구 잠원동 32-22,1165010600,1165054000,서울,서초구,잠원동,32,22,,6,601,보미리전빌,서울 서초구 신반포로41길 55,보미아파트,신반포로41길,55,,06528,37.5122984152296,127.016010348982
7,2023-101180(1),아파트,2023-08-09,80,매각,2,949,759,805,85,6,45.884,13.88,84.51,25.56,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2023/101180/182423.jpg,서울 관악구 남현동 1135,1162010300,1162063000,서울,관악구,남현동,1135,,103동,1,101,우림루미아트아파트,서울 관악구 남현길 91,우림루미아트아파트,남현길,91,,08809,37.4726335294843,126.97545516271
8,2022-121558(1),아파트,2023-08-09,80,매각,1,1,840,893,85,2,39.81,12.04,84.98,25.71,http://img1.speedauction.co.kr/new_gamimg/2023/A04/2022/121558/11205_AUTO_17.jpg,서울 영등포구 신길동 769-1,1156013200,1156069000,서울,영등포구,신길동,769,1,101동,6,604,한성아파트,서울 영등포구 가마산로 575,한성아파트,가마산로,575,,07360,37.5046770229472,126.919326677841
9,2022-105528(1),아파트,2023-08-09,2,매각,3,470,240,312,67,6,23.45,7.09,42.93,12.99,http://img1.speedauction.co.kr/new_gamimg/2023/A05/2022/105528/124622.jpg,서울 도봉구 쌍문동 56,1132010500,1132067000,서울,도봉구,쌍문동,56,,110동,15,1506,삼익세라믹아파트,서울 도봉구 해등로 169,삼익세라믹아파트,해등로,169,,01431,37.6575242550096,127.034882395018
10,2022-4176(1),아파트,2023-08-08,64,매각,2,998,638,733,73,4,39.66,12.0,114.653,34.68,http://img1.speedauction.co.kr/new_gamimg/2023/A01/2022/4176/01564_AUTO_3.jpg,서울 동작구 상도동 445,1159010200,1159056000,서울,동작구,상도동,445,,102동,5,502,경향렉스빌,서울 동작구 양녕로23길 9,경향렉스빌,양녕로23길,9,,07049,37.4952970416671,126.941935290017
