cnt,title,description,org_link,link,pDate
1,&apos;불법시위 주도&apos; 민노총에 추경호 &quot;보조금 중단 검토&quot;,추 부총리는 중국 <b>부동산</b>시장 위기론과 관련해선 “중국은 세계 경제에서 20%에 가까운 비중을 차지하고 있고 우리 수출액에서도 비중이 상당히 크다”며 “상황반을 설치하는 등 예의주시하고 있다”고 밝혔다.,https://www.hankyung.com/economy/article/2023082207921,https://www.hankyung.com/economy/article/2023082207921,2023-08-22 18:59:00
2,"인천 주택 매매가, 상승세 지속 2023년 7월 <b>부동산</b> 동향 공개",인천광역시가 한국<b>부동산</b>원에서 발표하는 <b>부동산</b>통계를 기초로 인천시 <b>부동산</b>시장 동향 보고서를 작성해 시청 홈페이지에 공개했다. 인천시가 공개한 보고서는 전국 및 인천시의 매매‧전세‧월세 가격과... ,https://www.kmaeil.com/news/articleView.html?idxno=412873,https://www.kmaeil.com/news/articleView.html?idxno=412873,2023-08-22 18:56:00
3,"[2보] 태국 총리에 세타 타위신 선출…탁신계 정당, 군부와 공동 집권","세타는 태국의 대형 <b>부동산</b> 개발업체 산시리의 전 회장으로, 지난 5월 열린 총선을 앞두고 경영에서 손을 떼고 정계에 입문한 정치 신인이다. 정치인이 되기 전부터 탁신 전 총리를 지지하며 가깝게 지내온 것으로... ",https://www.yna.co.kr/view/AKR20230822155600076?input=1195m,https://www.yna.co.kr/view/AKR20230822155600076?input=1195m,2023-08-22 18:55:00
4,[속보] 태국 총리에 &apos;<b>부동산</b> 거물&apos; 세타 타위신 선출-로이터,,https://www.news1.kr/articles/5147900,https://www.news1.kr/articles/5147900,2023-08-22 18:55:00
5,"가계빚, 세 분기 만에 다시 증가",고금리에도 <b>부동산</b> 투자 심리가 가열되면서 가계 빚이 늘어난 것이다. 정부와 한국은행은 대출 증가세를 예의주시하고 있다고 밝혔다. 한국은행이 22일 발표한 ‘2023년 2분기 가계신용(잠정)’에 따르면 올해... ,https://www.hankyung.com/economy/article/2023082207671,https://www.hankyung.com/economy/article/2023082207671,2023-08-22 18:53:00
6,"경북도개발공사, 창립 최초 &apos;공기업 경영평가&apos; 전국 1위 달성","공사는 CEO 주도로 혁신에 기반한 체계적 경영계획을 수립하였으며, 금리인상 및 <b>부동산</b> 경기 침체로... 이재혁 경상북도개발공사 사장은 &quot;<b>부동산</b> 경기 침체 상황에서도 창립 이래 최대의 성과를 낼 수 있었던 것은... ",http://www.hidomin.com/news/articleView.html?idxno=524309,http://www.hidomin.com/news/articleView.html?idxno=524309,2023-08-22 18:48:00
7,"유럽증시, 이틀 연속 강세…저가 매수심리 확산",지난주 중국 <b>부동산</b> 위기가 글로벌 증시의 투자심리를 얼어붙게 했으나 중국 당국의 추가 대책이 나올 것이라는 기대감이 확산하는 중이다. 이같은 분위기에 이날 중국 증시도 전반적으로 상승 마감했다.... ,https://news.einfomax.co.kr/news/articleView.html?idxno=4278235,https://news.einfomax.co.kr/news/articleView.html?idxno=4278235,2023-08-22 18:48:00
8,금융당국 “中<b>부동산</b> 사태 국내 익스포저 4천억 수준…직접 영향 없어”,금융당국이 최근 중국의 <b>부동산</b> 리스크 우려가 커지고 있는 것과 관련해 국내 금융사에 미칠 영향은 거의... 중국 <b>부동산</b> 리스크를 논의했다. 참석자들은 중국 <b>부동산</b> 개발기업에 대한 국내 금융회사의 익스포저(위험... ,https://www.dailian.co.kr/news/view/1265642/?sc=Naver,https://www.dailian.co.kr/news/view/1265642/?sc=Naver,2023-08-22 18:47:00
9,부산 ‘3040’ 상반기 주택구매 늘었다,22일 한국<b>부동산</b>원에 따르면 상반기 부산의 주택거래는 총 1만 6960건이다. 매수 기준으로 30대가 4158건(25... ‘<b>부동산</b> 중개 플랫폼’ <b>부동산</b>서베이 이영래 대표는 “<b>부동산</b> 호황기에 집값이 상승하는 것을 경험한... ,https://www.busan.com/view/busan/view.php?code=2023082218384227705,https://www.busan.com/view/busan/view.php?code=2023082218384227705,2023-08-22 18:43:00
10,금융위 &quot;中<b>부동산</b> 간접 익스포저 포함해도 1조원 미만&quot;,중국 <b>부동산</b>에 대한 익스포저(위험노출액)가 간접 노출액까지 포함해도 1조원 미만이라고 금융위원회가 22일 밝혔다. 중국 <b>부동산</b> 위기로 불안 심리가 확산하고 있지만 익스포저가 작은 만큼 국내에 미치는 영향이... ,http://www.edaily.co.kr/news/newspath.asp?newsid=03296406635709944,http://www.edaily.co.kr/news/newspath.asp?newsid=03296406635709944,2023-08-22 18:43:00
