Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,67500,3,0,0.0,67500,67900,67400,2461772,166541344200,402960322125000,5969782550,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,546000,2,-1000,-0.18,545000,551000,543000,63105,34540840000,127764000000000,234000000,STK
000660,KR7000660001,SK하이닉스,KOSPI,,116500,1,1200,1.04,114600,117300,114000,563896,65255627300,84812275522500,728002365,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,793000,2,-8000,-1.0,795000,801000,792000,10373,8248940000,56440982000000,71174000,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,572000,2,-5000,-0.87,565000,585000,565000,350129,201899312000,48374743560000,84571230,STK
005935,KR7005931001,삼성전자우,KOSPI,,55900,2,-100,-0.18,55900,56200,55700,190462,10646219100,45999366530000,822886700,STK
051910,KR7051910008,LG화학,KOSPI,,608000,2,-14000,-2.25,616000,619000,608000,54788,33503955000,42920144544000,70592343,STK
006400,KR7006400006,삼성SDI,KOSPI,,620000,2,-13000,-2.05,625000,626000,616000,37235,23124295000,42634008600000,68764530,STK
005380,KR7005380001,현대차,KOSPI,,189800,2,-700,-0.37,190000,190500,188300,80856,15308893600,40148679838800,211531506,STK
035420,KR7035420009,NAVER,KOSPI,,223500,1,1500,0.68,222500,224500,221000,190722,42438963000,36664970497500,164049085,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,432000,2,-8500,-1.93,431000,440500,429000,128033,55564896500,33464111040000,77463220,STK
000270,KR7000270009,기아,KOSPI,,79800,2,-500,-0.62,79700,80200,79300,274512,21861619200,32083127399400,402044203,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,317500,2,-6000,-1.85,316500,325500,316000,213815,68326443000,31051926720000,97801344,KSQ
086520,KR7086520004,에코프로,KOSDAQ,우량기업부,1091000,2,-46000,-4.05,1110000,1127000,1083000,221198,243296941000,29050785788000,26627668,KSQ
035720,KR7035720002,카카오,KOSPI,,51900,1,300,0.58,51700,52000,51300,257112,13279945900,23061821571000,444351090,STK
068270,KR7068270008,셀트리온,KOSPI,,151300,2,-5200,-3.32,157600,157600,150600,180743,27618208300,22150739101000,146402770,STK
012330,KR7012330007,현대모비스,KOSPI,,234000,1,1000,0.43,235000,235500,232000,40936,9566231000,22062711996000,94285094,STK
105560,KR7105560007,KB금융,KOSPI,,51500,2,-100,-0.19,51200,52000,51200,111249,5735108400,20780820208000,403511072,STK
028260,KR7028260008,삼성물산,KOSPI,,104700,2,-200,-0.19,105200,105200,104200,31777,3328232900,19431447849000,185591670,STK
055550,KR7055550008,신한지주,KOSPI,,34950,1,150,0.43,34800,35150,34700,122918,4300046300,18116231774100,518347118,STK
096770,KR7096770003,SK이노베이션,KOSPI,,185700,2,-4800,-2.52,190500,192200,185500,129215,24421041700,17170855234800,92465564,STK
066570,KR7066570003,LG전자,KOSPI,,102100,2,-1700,-1.64,103400,103500,101700,152271,15556389300,16708441809400,163647814,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,85700,1,500,0.59,83300,88800,83300,1640746,142627772600,15076582931600,175922788,STK
032830,KR7032830002,삼성생명,KOSPI,,69100,2,-1200,-1.71,70000,70000,68700,29249,2022216800,13820000000000,200000000,STK
323410,KR7323410001,카카오뱅크,KOSPI,,27450,2,-150,-0.54,27450,27900,27400,188786,5216142150,13087257910650,476767137,STK
003550,KR7003550001,LG,KOSPI,,81800,2,-500,-0.61,82300,82400,81500,32259,2640700500,12867221227400,157300993,STK
015760,KR7015760002,한국전력,KOSPI,,18950,2,-10,-0.05,19010,19040,18900,190731,3618540860,12165219259150,641964077,STK
033780,KR7033780008,KT&G,KOSPI,,85700,1,700,0.82,85200,85700,85100,38432,3287771700,11765966992900,137292497,STK
000810,KR7000810002,삼성화재,KOSPI,,248000,2,-2500,-1.0,249500,250500,246500,6174,1530721000,11748959576000,47374837,STK
091990,KR7091990002,셀트리온헬스케어,KOSDAQ GLOBAL,우량기업부,69600,2,-2700,-3.73,73700,73800,68900,704961,49742036800,11446744790400,164464724,KSQ
086790,KR7086790003,하나금융지주,KOSPI,,38350,1,150,0.39,38350,38550,38250,105246,4039854000,11347898304600,295903476,STK
329180,KR7329180004,HD현대중공업,KOSPI,,127400,2,-5100,-3.85,131800,132400,127300,36193,4692592200,11309694978400,88773116,STK
009150,KR7009150004,삼성전기,KOSPI,,149300,2,-2100,-1.39,150500,150600,148100,73264,10914854300,11151768812800,74693696,STK
034730,KR7034730002,SK,KOSPI,,151100,3,0,0.0,150800,152600,150800,24347,3688889200,11060267511900,73198329,STK
